K,Source Device ID,Time_90,Chunk Copies,% Devices Reached
46,5687,inf,1414,82.124
46,1452,inf,297,17.295
46,2631,inf,1363,79.164
46,6812,inf,1134,65.873
46,4705,inf,1187,68.950
46,6561,inf,1502,87.232
46,1040,inf,955,55.485
46,7241,inf,975,56.645
46,858,inf,1473,85.548
46,10435,inf,710,41.265
46,8384,inf,643,37.377
46,1071,inf,827,48.056
46,1394,inf,1234,71.677
46,792,inf,656,38.131
46,7779,inf,1534,89.089
46,10690,inf,1420,82.472
46,1356,inf,1271,73.825
46,8481,inf,143,8.358
46,11867,inf,10,0.638
46,4571,inf,142,8.299
46,9822,inf,652,37.899
46,8348,inf,647,37.609
46,4808,inf,976,56.703
46,8315,inf,655,38.073
46,541,inf,1541,89.495
46,2452,inf,885,51.422
46,265,inf,1255,72.896
46,2613,inf,1409,81.834
46,11870,inf,10,0.638
46,5349,inf,834,48.462
46,1189,inf,929,53.976
46,4702,inf,1055,61.288
46,2616,inf,1409,81.834
46,7261,inf,976,56.703
46,2683,inf,1371,79.629
46,4720,inf,1034,60.070
46,1208,inf,921,53.511
46,9547,inf,389,22.635
46,2205,inf,1539,89.379
46,7588,inf,1545,89.727
46,1400,inf,417,24.260
46,6676,inf,1472,85.490
46,1244,inf,669,38.886
46,6610,inf,1488,86.419
46,206,inf,1275,74.057
46,135,inf,1309,76.030
46,3289,inf,1164,67.615
46,2553,inf,871,50.609
46,4044,inf,1506,87.464
46,41,inf,1544,89.669
46,250,inf,1289,74.869
46,8368,inf,648,37.667
46,8487,inf,142,8.299
46,1470,inf,297,17.295
46,2671,inf,1475,85.665
46,7419,inf,364,21.184
46,317,inf,1218,70.749
46,961,inf,1502,87.232
46,11102,inf,220,12.826
46,6064,inf,1281,74.405
46,638,inf,1216,70.633
46,280,inf,1248,72.490
46,9569,inf,15,0.929
46,1655,inf,169,9.867
46,8760,inf,692,40.221
46,100,inf,1519,88.218
46,553,inf,1526,88.624
46,7243,inf,975,56.645
46,846,inf,1525,88.566
46,1053,inf,1511,87.754
46,525,inf,1194,69.356
46,10976,inf,466,27.104
46,8264,inf,978,56.820
46,4463,inf,159,9.286
46,3481,inf,917,53.279
47,3476,inf,968,56.239
47,11071,inf,224,13.059
47,155,inf,1310,76.088
47,1598,inf,176,10.273
47,8344,inf,655,38.073
47,2046,inf,1542,89.553
47,7393,inf,380,22.113
47,8350,inf,655,38.073
47,1325,inf,1413,82.066
47,9334,inf,149,8.706
47,1977,inf,1500,87.115
47,1059,inf,1531,88.915
47,706,inf,974,56.587
47,8757,inf,697,40.511
47,20,inf,1523,88.450
47,2812,inf,1353,78.584
47,2057,inf,1204,69.936
47,11056,inf,225,13.117
47,11560,inf,566,32.908
47,157,inf,1312,76.204
47,762,inf,925,53.743
47,1117,inf,778,45.212
47,2620,inf,1415,82.182
47,3279,inf,1211,70.342
47,8736,inf,698,40.569
47,5687,inf,1420,82.472
47,1452,inf,300,17.470
47,2631,inf,1370,79.571
47,6812,inf,1140,66.222
47,4705,inf,1193,69.298
47,6561,inf,1509,87.638
47,1040,inf,959,55.717
47,7241,inf,982,57.052
47,858,inf,1480,85.955
47,10435,inf,714,41.497
47,8384,inf,647,37.609
47,1071,inf,830,48.230
47,1394,inf,1241,72.084
47,792,inf,660,38.363
47,7779,inf,1544,89.669
47,10690,inf,1425,82.763
47,1356,inf,1277,74.173
47,8481,inf,143,8.358
47,11867,inf,10,0.638
47,4571,inf,142,8.299
47,9822,inf,656,38.131
47,8348,inf,655,38.073
47,4808,inf,979,56.878
47,8315,inf,665,38.654
47,541,312006,1551,90.075
47,2452,inf,889,51.654
47,265,inf,1262,73.302
47,2613,inf,1415,82.182
47,11870,inf,10,0.638
47,5349,inf,837,48.636
47,1189,inf,934,54.266
47,4702,inf,1062,61.695
47,2616,inf,1415,82.182
47,7261,inf,981,56.994
47,2683,inf,1377,79.977
47,4720,inf,1038,60.302
47,1208,inf,926,53.802
47,9547,inf,389,22.635
47,2205,313311,1550,90.017
47,7588,308072,1555,90.308
47,1400,inf,419,24.376
47,6676,inf,1479,85.897
47,1244,inf,674,39.176
47,6610,inf,1495,86.825
47,206,inf,1282,74.463
47,135,inf,1316,76.436
47,3289,inf,1170,67.963
47,2553,inf,874,50.784
47,4044,inf,1516,88.044
47,41,309133,1554,90.250
47,250,inf,1295,75.218
47,8368,inf,651,37.841
47,8487,inf,142,8.299
47,1470,inf,300,17.470
47,2671,inf,1485,86.245
47,7419,inf,364,21.184
47,317,inf,1225,71.155
47,961,inf,1513,87.870
47,11102,inf,432,25.131
47,6064,inf,1288,74.811
47,638,inf,1222,70.981
47,280,inf,1255,72.896
47,9569,inf,15,0.929
47,1655,inf,170,9.925
47,8760,inf,697,40.511
47,100,inf,1528,88.741
47,553,inf,1535,89.147
47,7243,inf,982,57.052
47,846,inf,1535,89.147
47,1053,inf,1524,88.508
47,525,inf,1197,69.530
47,10976,inf,468,27.220
47,8264,inf,982,57.052
47,4463,inf,159,9.286
47,3481,inf,921,53.511
48,3476,inf,972,56.471
48,11071,inf,225,13.117
48,155,inf,1319,76.611
48,1598,inf,177,10.331
48,8344,inf,658,38.247
48,2046,309133,1553,90.192
48,7393,inf,380,22.113
48,8350,inf,658,38.247
48,1325,inf,1418,82.356
48,9334,inf,149,8.706
48,1977,inf,1510,87.696
48,1059,inf,1543,89.611
48,706,inf,978,56.820
48,8757,inf,700,40.685
48,20,inf,1533,89.031
48,2812,inf,1359,78.932
48,2057,inf,1210,70.284
48,11056,inf,227,13.233
48,11560,inf,569,33.082
48,157,inf,1321,76.727
48,762,inf,928,53.918
48,1117,inf,782,45.444
48,2620,inf,1446,83.981
48,3279,inf,1218,70.749
48,8736,inf,701,40.743
48,5687,inf,1425,82.763
48,1452,inf,303,17.644
48,2631,inf,1388,80.615
48,6812,inf,1146,66.570
48,4705,inf,1199,69.646
48,6561,inf,1517,88.102
48,1040,inf,963,55.949
48,7241,inf,988,57.400
48,858,inf,1486,86.303
48,10435,inf,719,41.788
48,8384,inf,650,37.783
48,1071,inf,833,48.404
48,1394,inf,1248,72.490
48,792,inf,668,38.828
48,7779,308072,1556,90.366
48,10690,inf,1431,83.111
48,1356,inf,1283,74.521
48,8481,inf,143,8.358
48,11867,inf,10,0.638
48,4571,inf,142,8.299
48,9822,inf,659,38.305
48,8348,inf,658,38.247
48,4808,inf,982,57.052
48,8315,inf,669,38.886
48,541,302255,1563,90.772
48,2452,inf,892,51.828
48,265,inf,1270,73.767
48,2613,inf,1424,82.705
48,11870,inf,10,0.638
48,5349,inf,840,48.810
48,1189,inf,938,54.498
48,4702,inf,1068,62.043
48,2616,inf,1424,82.705
48,7261,inf,985,57.226
48,2683,inf,1383,80.325
48,4720,inf,1043,60.592
48,1208,inf,929,53.976
48,9547,inf,389,22.635
48,2205,302255,1563,90.772
48,7588,297963,1568,91.062
48,1400,inf,421,24.492
48,6676,inf,1489,86.477
48,1244,inf,678,39.408
48,6610,inf,1505,87.406
48,206,inf,1290,74.927
48,135,inf,1324,76.901
48,3289,inf,1176,68.311
48,2553,inf,877,50.958
48,4044,inf,1526,88.624
48,41,298098,1566,90.946
48,250,inf,1302,75.624
48,8368,inf,654,38.015
48,8487,inf,142,8.299
48,1470,inf,303,17.644
48,2671,inf,1492,86.651
48,7419,inf,364,21.184
48,317,inf,1231,71.503
48,961,inf,1525,88.566
48,11102,inf,433,25.189
48,6064,inf,1295,75.218
48,638,inf,1228,71.329
48,280,inf,1261,73.244
48,9569,inf,15,0.929
48,1655,inf,171,9.983
48,8760,inf,700,40.685
48,100,inf,1539,89.379
48,553,inf,1547,89.843
48,7243,inf,988,57.400
48,846,inf,1547,89.843
48,1053,inf,1535,89.147
48,525,inf,1201,69.762
48,10976,inf,470,27.336
48,8264,inf,986,57.284
48,4463,inf,159,9.286
48,3481,inf,924,53.685
49,3476,inf,976,56.703
49,11071,inf,227,13.233
49,155,inf,1326,77.017
49,1598,inf,178,10.389
49,8344,inf,661,38.421
49,2046,302255,1562,90.714
49,7393,inf,380,22.113
49,8350,inf,661,38.421
49,1325,inf,1422,82.589
49,9334,inf,149,8.706
49,1977,inf,1518,88.160
49,1059,309133,1554,90.250
49,706,inf,982,57.052
49,8757,inf,704,40.917
49,20,inf,1543,89.611
49,2812,inf,1366,79.338
49,2057,inf,1216,70.633
49,11056,inf,229,13.349
49,11560,inf,572,33.256
49,157,inf,1328,77.133
49,762,inf,932,54.150
49,1117,inf,785,45.618
49,2620,inf,1455,84.504
49,3279,inf,1225,71.155
49,8736,inf,705,40.975
49,5687,inf,1430,83.053
49,1452,inf,306,17.818
49,2631,inf,1396,81.080
49,6812,inf,1152,66.918
49,4705,inf,1205,69.994
49,6561,inf,1524,88.508
49,1040,inf,966,56.123
49,7241,inf,994,57.748
49,858,inf,1493,86.709
49,10435,inf,722,41.962
49,8384,inf,652,37.899
49,1071,inf,837,48.636
49,1394,inf,1254,72.838
49,792,inf,672,39.060
49,7779,298098,1565,90.888
49,10690,inf,1437,83.459
49,1356,inf,1288,74.811
49,8481,inf,143,8.358
49,11867,inf,10,0.638
49,4571,inf,142,8.299
49,9822,inf,663,38.537
49,8348,inf,661,38.421
49,4808,inf,985,57.226
49,8315,inf,673,39.118
49,541,277353,1572,91.294
49,2452,inf,895,52.002
49,265,inf,1276,74.115
49,2613,inf,1432,83.169
49,11870,inf,10,0.638
49,5349,inf,843,48.984
49,1189,inf,941,54.672
49,4702,inf,1074,62.391
49,2616,inf,1432,83.169
49,7261,inf,988,57.400
49,2683,inf,1390,80.731
49,4720,inf,1047,60.824
49,1208,inf,932,54.150
49,9547,inf,389,22.635
49,2205,277353,1572,91.294
49,7588,266279,1577,91.584
49,1400,inf,423,24.608
49,6676,inf,1496,86.883
49,1244,inf,682,39.640
49,6610,inf,1513,87.870
